Nombre,Precio_Venta,Stock,SKU,Codigo_Barras
SACAPUNTA BERENICE,0.5,0,SB-0365,7590000000365
CREYONES NORMA,2.5,0,CN-0366,7590000000366
BORRADOR BERENICE,0.4,0,BB-0367,7590000000367
ESCARCHA LIQUIDA,1.0,0,EL-0368,7590000000368
ESCARCHA POTE COLORES,3.2,0,EPC-0369,7590000000369
ROMPECABEZA,1.5,0,R-0370,7590000000370
GANCHOS NEGROS CABELLO,0.8,0,GNC-0371,7590000000371
SUAVIZANTE BONA ROPA,2.8,0,SBR-0372,7590000000372
LAMPARA MANZANA,4.5,0,LM-0373,7590000000373
CREMA CORPORAL ALIVE,4.5,0,CCA-0374,7590000000374
CHAMPU ALIVE,4.5,0,CA-0375,7590000000375
TOALLAS HUMEDAS BABY FINGER,2.0,0,THBF-0376,7590000000376
CEPILLO SECADOR 5 EN 1,40.0,0,CS5E1-0377,7590000000377
HOJAS BLANCA 10 UND,0.5,0,HB1U-0378,7590000000378
MONOMERO,3.0,0,M-0379,7590000000379
PINTURA AL FRIO,1.5,0,PAF-0380,7590000000380
TEMPERA,2.5,0,T-0381,7590000000381
CORNETA PEQUENA,13.0,0,CP-0382,7590000000382
CHAMPIOJO SOBRE,1.2,0,CS-0383,7590000000383
REGLETA,4.2,0,R-0384,7590000000384
KIT DEV LIGAS,1.6,0,KDL-0385,7590000000385
KIT PEDICURE,4.0,0,KP-0386,7590000000386
AGUA OXIGENADA,2.5,0,AO-0387,7590000000387
LOCION AVON,15.0,0,LA-0388,7590000000388
BOLSO SWISSGEAR,28.0,0,BS-0389,7590000000389
GLADE CARRO,3.9,0,GC-0390,7590000000390
TINTE DRENE,5.5,0,TD-0391,7590000000391
LLUVIA DE CHOCOLATE 100G,1.5,0,LDC1-0392,7590000000392
LLUVIA DE CHOCOLATE BLANCO 100G,1.5,0,LDCB1-0393,7590000000393
LLUVIA DE COLORES 100G,1.0,0,LDC1-0394,7590000000394
MESCLA PARA TORTA,2.0,0,MPT-0395,7590000000395
BALINES DE COLORES,1.5,0,BDC-0396,7590000000396
CACAO 100G,1.5,0,C1-0397,7590000000397
CEREZA ROJA 100G,3.0,0,CR1-0398,7590000000398
FRUTA CONFITADA 100G,1.0,0,FC1-0399,7590000000399
NEVATORTA 250G,2.5,0,N2-0400,7590000000400
SANTILLY EN POLVO 80G,3.5,0,SEP8-0401,7590000000401
PUDIN WYNCO,0.8,0,PW-0402,7590000000402
COLOR EN GEL,3.5,0,CEG-0403,7590000000403
CUCHRAS PLASTICAS 20 UND,1.0,0,CP2U-0404,7590000000404
VASOS PLASTICO,2.0,0,VP-0405,7590000000405
BASE DE TORTA DORADA,1.3,0,BDTD-0406,7590000000406
BASE TRIANGULAR,0.3,0,BT-0407,7590000000407
BASE DE ALUMINIO GRANDE,1.3,0,BDAG-0408,7590000000408
COLORETI,1.5,0,C-0409,7590000000409
FLOTADOR DE GLOBOS,2.5,0,FDG-0410,7590000000410
JABON MONCLEAR,0,0,JM-0411,7590000000411
